Timestamp,Cursor 1 Wavelength,Cursor 1 FWHM,Cursor 1 Intensity,Cursor 1 OSNR
2021-08-13T17:05:22.470,246726.5019,34.333,0.118,33.0
2021-08-13T17:05:22.900,246727.0142,34.218,0.119,33.3
2021-08-13T17:05:23.274,246726.5032,34.339,0.119,33.1
2021-08-13T17:05:23.705,246727.0192,34.217,0.119,32.6
2021-08-13T17:05:24.065,246726.5006,34.334,0.118,33.0
2021-08-13T17:05:24.505,246727.0162,34.214,0.118,32.6
2021-08-13T17:05:24.875,246726.5027,34.332,0.118,33.2
2021-08-13T17:05:25.297,246727.0177,34.219,0.119,32.7
2021-08-13T17:05:25.668,246726.5027,34.335,0.118,33.0
2021-08-13T17:05:26.098,246727.0209,34.223,0.118,33.2
2021-08-13T17:05:26.468,246726.4905,34.328,0.118,32.6
2021-08-13T17:05:26.906,246727.0151,34.218,0.119,33.1
2021-08-13T17:05:27.276,246726.4957,34.330,0.118,32.4
2021-08-13T17:05:27.706,246727.0098,34.214,0.118,32.9
2021-08-13T17:05:28.074,246726.4891,34.328,0.118,31.8
2021-08-13T17:05:28.505,246727.0153,34.222,0.118,32.4
2021-08-13T17:05:28.879,246726.4943,34.329,0.118,33.1
2021-08-13T17:05:29.305,246727.0095,34.207,0.118,31.8
2021-08-13T17:05:29.675,246726.4919,34.328,0.118,32.7
2021-08-13T17:05:30.106,246727.0255,34.220,0.119,32.1
2021-08-13T17:05:30.477,246726.4933,34.330,0.119,32.9
2021-08-13T17:05:30.905,246727.0083,34.207,0.118,31.7
2021-08-13T17:05:31.275,246726.4927,34.329,0.118,32.8
2021-08-13T17:05:31.705,246727.0090,34.219,0.118,32.3
2021-08-13T17:05:32.081,246726.4914,34.328,0.118,33.0
2021-08-13T17:05:32.523,246726.5439,34.210,0.119,31.3
2021-08-13T17:05:32.893,246726.4892,34.327,0.118,32.7
2021-08-13T17:05:33.323,246727.0027,34.207,0.118,32.2
2021-08-13T17:05:33.690,246726.4894,34.324,0.118,33.2
2021-08-13T17:05:34.110,246726.5463,34.219,0.119,31.6
2021-08-13T17:05:34.470,246726.4871,34.324,0.118,32.0
2021-08-13T17:05:34.907,246726.5512,34.222,0.118,31.8
2021-08-13T17:05:35.286,246726.4878,34.324,0.118,32.7
2021-08-13T17:05:35.711,246726.5409,34.206,0.119,31.1
2021-08-13T17:05:36.081,246726.4873,34.324,0.118,32.2
2021-08-13T17:05:36.508,246726.5484,34.224,0.118,31.3
2021-08-13T17:05:36.878,246726.4836,34.323,0.118,32.5
2021-08-13T17:05:37.312,246726.5409,34.204,0.118,32.3
2021-08-13T17:05:37.682,246726.5111,34.322,0.118,31.9
2021-08-13T17:05:38.108,246726.5418,34.208,0.118,32.1
2021-08-13T17:05:38.482,246726.5134,34.325,0.118,33.0
2021-08-13T17:05:38.910,246727.0127,34.215,0.118,32.2
2021-08-13T17:05:39.286,246726.5110,34.319,0.118,32.8
2021-08-13T17:05:39.712,246726.5385,34.204,0.118,32.5
2021-08-13T17:05:40.083,246726.5112,34.322,0.118,32.8
2021-08-13T17:05:40.518,246726.5372,34.208,0.118,32.3
2021-08-13T17:05:40.889,246726.5157,34.327,0.119,32.9
2021-08-13T17:05:41.308,246726.5356,34.205,0.118,32.4
2021-08-13T17:05:41.688,246726.5084,34.321,0.118,33.2
2021-08-13T17:05:42.114,246726.5416,34.215,0.119,32.5
2021-08-13T17:05:42.484,246726.5171,34.324,0.118,33.1
2021-08-13T17:05:42.920,246726.5335,34.204,0.118,32.2
2021-08-13T17:05:43.291,246726.5108,34.322,0.118,32.0
2021-08-13T17:05:43.718,246727.0083,34.220,0.118,31.8
2021-08-13T17:05:44.078,246726.5129,34.323,0.117,32.9
2021-08-13T17:05:44.518,246726.5369,34.217,0.118,32.7
2021-08-13T17:05:44.886,246726.5071,34.322,0.117,32.9
2021-08-13T17:05:45.316,246726.5359,34.216,0.118,32.7
2021-08-13T17:05:45.686,246726.5103,34.320,0.118,31.8
