Timestamp,Cursor 1 Wavelength,Cursor 1 FWHM,Cursor 1 Intensity,Cursor 1 OSNR
2021-07-27T18:10:44.390,285083.6661,2.541,0.148,24.0
2021-07-27T18:10:45.799,285083.6646,2.342,0.163,24.3
2021-07-27T18:10:48.396,285083.6658,2.540,0.148,24.0
2021-07-27T18:10:49.808,285083.6649,2.338,0.158,24.4
2021-07-27T18:10:52.401,285083.6653,2.537,0.147,24.1
2021-07-27T18:10:53.792,285083.6630,2.337,0.162,24.3
2021-07-27T18:10:56.410,285083.6635,2.533,0.152,24.0
2021-07-27T18:10:57.795,285083.6623,2.335,0.166,24.4
2021-07-27T18:11:00.396,285083.6621,2.529,0.151,24.0
2021-07-27T18:11:01.788,285083.6605,2.330,0.163,24.4
2021-07-27T18:11:04.396,285083.6604,2.526,0.152,24.0
2021-07-27T18:11:05.779,285083.6603,2.328,0.168,24.3
2021-07-27T18:11:08.381,285083.6606,2.524,0.153,24.0
2021-07-27T18:11:09.771,285083.6593,2.324,0.162,24.4
2021-07-27T18:11:12.372,285083.6582,2.517,0.151,24.1
2021-07-27T18:11:13.777,285083.6578,2.324,0.165,24.4
2021-07-27T18:11:16.345,285083.6568,2.515,0.155,24.1
2021-07-27T18:11:17.759,285083.6580,2.321,0.163,24.4
2021-07-27T18:11:20.348,285083.6561,2.511,0.150,24.1
2021-07-27T18:11:21.735,285083.6581,2.317,0.164,24.1
2021-07-27T18:11:24.324,285083.6559,2.510,0.156,24.1
2021-07-27T18:11:25.728,285083.6568,2.317,0.166,24.4
2021-07-27T18:11:28.419,285083.6551,2.509,0.152,24.1
2021-07-27T18:11:29.785,285083.6558,2.316,0.167,24.4
2021-07-27T18:11:32.312,285083.6554,2.510,0.155,24.1
2021-07-27T18:11:33.718,285083.6493,2.266,0.169,24.4
2021-07-27T18:11:36.300,285083.6553,2.509,0.156,24.1
2021-07-27T18:11:37.682,285083.6565,2.316,0.163,24.4
2021-07-27T18:11:40.285,285083.6389,2.530,0.152,24.1
2021-07-27T18:11:41.682,285083.6563,2.318,0.168,24.4
2021-07-27T18:11:44.282,285083.6554,2.510,0.159,24.1
2021-07-27T18:11:45.661,285083.6495,2.267,0.167,24.4
2021-07-27T18:11:48.265,285083.6551,2.509,0.151,24.1
2021-07-27T18:11:49.679,285083.6557,2.315,0.166,24.4
2021-07-27T18:11:52.254,285083.6551,2.508,0.155,24.1
2021-07-27T18:11:53.647,285083.6498,2.265,0.170,24.5
2021-07-27T18:11:56.242,285083.6548,2.505,0.154,24.1
2021-07-27T18:11:57.640,285083.6556,2.314,0.169,24.5
2021-07-27T18:12:00.233,285083.6539,2.504,0.154,24.2
2021-07-27T18:12:01.625,285083.6566,2.315,0.170,24.5
2021-07-27T18:12:04.283,285083.6554,2.507,0.156,24.1
2021-07-27T18:12:05.649,285083.6566,2.314,0.166,24.5
2021-07-27T18:12:08.227,285083.6553,2.506,0.153,24.1
2021-07-27T18:12:09.610,285083.6566,2.317,0.170,24.4
2021-07-27T18:12:12.222,285083.6552,2.507,0.157,24.1
2021-07-27T18:12:13.620,285083.6492,2.264,0.166,24.4
2021-07-27T18:12:16.240,285083.6410,2.531,0.150,24.1
2021-07-27T18:12:17.626,285083.6576,2.321,0.168,24.4
2021-07-27T18:12:20.235,285083.6571,2.513,0.154,24.1
2021-07-27T18:12:21.636,285083.6501,2.269,0.165,24.5
2021-07-27T18:12:24.247,285083.6570,2.514,0.149,24.0
2021-07-27T18:12:25.635,285083.6584,2.323,0.165,24.4
2021-07-27T18:12:28.226,285083.6581,2.518,0.155,24.1
2021-07-27T18:12:29.632,285083.6600,2.327,0.169,24.3
2021-07-27T18:12:32.239,285083.6591,2.522,0.150,24.1
2021-07-27T18:12:33.622,285083.6508,2.273,0.162,24.5
2021-07-27T18:12:36.217,285083.6585,2.522,0.150,24.0
2021-07-27T18:12:37.616,285083.6603,2.329,0.167,24.3
2021-07-27T18:12:40.217,285083.6600,2.523,0.151,24.1
2021-07-27T18:12:41.599,285083.6600,2.328,0.162,24.4
2021-07-27T18:12:44.201,285083.6593,2.523,0.151,24.0
2021-07-27T18:12:45.593,285083.6591,2.327,0.169,24.4
2021-07-27T18:12:48.194,285083.6591,2.520,0.154,24.1
2021-07-27T18:12:49.593,285083.6506,2.269,0.167,24.4
2021-07-27T18:12:52.162,285083.6425,2.536,0.152,24.1
2021-07-27T18:12:53.584,285083.6568,2.320,0.165,24.4
2021-07-27T18:12:56.181,285083.6551,2.509,0.157,24.0
2021-07-27T18:12:57.558,285083.6566,2.316,0.169,24.4
2021-07-27T18:13:00.162,285083.6540,2.504,0.153,24.1
2021-07-27T18:13:01.560,285083.6554,2.314,0.167,24.4
2021-07-27T18:13:04.168,285083.6525,2.503,0.158,24.1
2021-07-27T18:13:05.565,285083.6557,2.314,0.171,24.5
2021-07-27T18:13:08.135,285083.6530,2.502,0.157,24.1
2021-07-27T18:13:09.541,285083.6551,2.312,0.169,24.4
2021-07-27T18:13:12.148,285083.6520,2.501,0.154,24.1
2021-07-27T18:13:13.531,285083.6548,2.314,0.171,24.5
2021-07-27T18:13:16.122,285083.6531,2.504,0.159,24.1
2021-07-27T18:13:17.523,285083.6481,2.262,0.167,24.5
2021-07-27T18:13:20.136,285083.6529,2.504,0.155,24.1
2021-07-27T18:13:21.497,285083.6476,2.263,0.171,24.5
2021-07-27T18:13:24.098,285083.6541,2.506,0.157,24.2
2021-07-27T18:13:25.502,285083.6566,2.317,0.167,24.4
2021-07-27T18:13:28.104,285083.6534,2.505,0.154,24.1
2021-07-27T18:13:29.479,285083.6477,2.262,0.171,24.5
2021-07-27T18:13:32.087,285083.6533,2.505,0.157,24.1
2021-07-27T18:13:33.479,285083.6481,2.265,0.170,24.5
2021-07-27T18:13:36.081,285083.6537,2.506,0.155,24.1
2021-07-27T18:13:37.463,285083.6479,2.264,0.168,24.5
2021-07-27T18:13:40.050,285083.6530,2.505,0.154,24.1
2021-07-27T18:13:41.457,285083.6562,2.316,0.171,24.5
2021-07-27T18:13:44.056,285083.6541,2.507,0.159,24.2
2021-07-27T18:13:45.442,285083.6488,2.265,0.167,24.5
2021-07-27T18:13:48.037,285083.6545,2.509,0.153,24.0
2021-07-27T18:13:49.452,285083.6570,2.320,0.168,24.4
2021-07-27T18:13:52.041,285083.6559,2.513,0.156,24.2
2021-07-27T18:13:53.417,285083.6578,2.321,0.164,24.4
2021-07-27T18:13:55.998,285083.6567,2.515,0.151,24.0
2021-07-27T18:13:57.412,285083.6581,2.323,0.169,24.4
2021-07-27T18:14:00.005,285083.6574,2.518,0.155,24.1
2021-07-27T18:14:01.380,285083.6588,2.324,0.165,24.4
2021-07-27T18:14:03.991,285083.6576,2.518,0.152,24.0
2021-07-27T18:14:05.392,285083.6592,2.326,0.163,24.5
2021-07-27T18:14:07.979,285083.6590,2.522,0.154,24.0
2021-07-27T18:14:09.369,285083.6516,2.274,0.170,24.4
2021-07-27T18:14:11.963,285083.6452,2.543,0.153,24.1
2021-07-27T18:14:13.370,285083.6591,2.326,0.163,24.4
2021-07-27T18:14:15.963,285083.6584,2.521,0.154,24.1
2021-07-27T18:14:17.330,285083.6507,2.272,0.172,24.4
2021-07-27T18:14:19.953,285083.6586,2.520,0.152,24.0
2021-07-27T18:14:21.347,285083.6588,2.323,0.163,24.4
2021-07-27T18:14:23.936,285083.6565,2.514,0.150,24.1
2021-07-27T18:14:25.310,285083.6495,2.269,0.172,24.4
2021-07-27T18:14:27.902,285083.6574,2.516,0.158,24.1
2021-07-27T18:14:29.325,285083.6591,2.324,0.168,24.4
2021-07-27T18:14:31.921,285083.6568,2.515,0.151,24.1
2021-07-27T18:14:33.309,285083.6496,2.268,0.167,24.4
2021-07-27T18:14:35.896,285083.6575,2.518,0.155,24.0
2021-07-27T18:14:37.302,285083.6586,2.325,0.169,24.4
2021-07-27T18:14:39.887,285083.6573,2.517,0.153,24.0
2021-07-27T18:14:41.278,285083.6496,2.269,0.166,24.5
2021-07-27T18:14:43.864,285083.6568,2.516,0.153,24.1
2021-07-27T18:14:45.270,285083.6591,2.325,0.168,24.3
2021-07-27T18:14:47.871,285083.6578,2.519,0.153,24.1
2021-07-27T18:14:49.254,285083.6506,2.271,0.167,24.5
2021-07-27T18:14:51.848,285083.6445,2.540,0.149,24.0
2021-07-27T18:14:53.262,285083.6592,2.328,0.165,24.4
2021-07-27T18:14:55.865,285083.6602,2.525,0.155,24.1
2021-07-27T18:14:57.239,285083.6608,2.331,0.165,24.4
2021-07-27T18:14:59.816,285083.6601,2.526,0.151,24.0
2021-07-27T18:15:01.229,285083.6605,2.330,0.165,24.3
2021-07-27T18:15:03.825,285083.6614,2.530,0.153,24.0
2021-07-27T18:15:05.216,285083.6612,2.331,0.166,24.3
2021-07-27T18:15:07.799,285083.6615,2.528,0.149,24.0
2021-07-27T18:15:09.205,285083.6520,2.276,0.165,24.4
2021-07-27T18:15:11.798,285083.6614,2.528,0.155,24.0
2021-07-27T18:15:13.192,285083.6611,2.332,0.166,24.3
2021-07-27T18:15:15.770,285083.6612,2.529,0.152,24.1
2021-07-27T18:15:17.181,285083.6516,2.273,0.163,24.4
2021-07-27T18:15:19.796,285083.6599,2.525,0.152,24.0
2021-07-27T18:15:21.161,285083.6604,2.330,0.167,24.4
2021-07-27T18:15:23.755,285083.6603,2.526,0.154,24.0
2021-07-27T18:15:25.153,285083.6606,2.329,0.166,24.3
2021-07-27T18:15:27.749,285083.6596,2.524,0.151,24.1
2021-07-27T18:15:29.133,285083.6510,2.273,0.168,24.3
2021-07-27T18:15:31.712,285083.6599,2.526,0.157,24.1
2021-07-27T18:15:33.129,285083.6526,2.275,0.165,24.4
2021-07-27T18:15:35.720,285083.6605,2.526,0.150,24.0
2021-07-27T18:15:37.106,285083.6604,2.328,0.162,24.3
2021-07-27T18:15:39.700,285083.6604,2.527,0.151,24.0
2021-07-27T18:15:41.098,285083.6612,2.331,0.167,24.3
2021-07-27T18:15:43.699,285083.6609,2.528,0.153,24.0
2021-07-27T18:15:45.073,285083.6611,2.330,0.162,24.3
2021-07-27T18:15:47.666,285083.6605,2.527,0.150,24.0
2021-07-27T18:15:49.073,285083.6611,2.332,0.165,24.5
2021-07-27T18:15:51.675,285083.6608,2.527,0.151,24.0
2021-07-27T18:15:53.042,285083.6607,2.330,0.164,24.4
2021-07-27T18:15:55.647,285083.6599,2.524,0.148,24.0
2021-07-27T18:15:57.044,285083.6606,2.329,0.168,24.4
2021-07-27T18:15:59.637,285083.6605,2.526,0.153,24.0
2021-07-27T18:16:01.027,285083.6522,2.273,0.167,24.4
2021-07-27T18:16:03.613,285083.6602,2.524,0.148,24.0
2021-07-27T18:16:05.038,285083.6513,2.272,0.166,24.5
