Timestamp,Cursor 1 Wavelength,Cursor 1 FWHM,Cursor 1 Intensity,Cursor 1 OSNR
2021-08-23T16:18:48.717,230616.3380,34.079,0.404,21.0
2021-08-23T16:18:49.544,230616.3322,34.132,0.404,21.9
2021-08-23T16:18:49.649,230616.3341,34.002,0.404,20.4
2021-08-23T16:18:50.205,230616.3330,34.111,0.404,24.3
2021-08-23T16:18:50.504,230616.3407,34.044,0.403,20.2
2021-08-23T16:18:50.978,230616.3343,34.171,0.405,24.5
2021-08-23T16:18:51.028,230616.2120,34.015,0.402,19.8
2021-08-23T16:18:51.443,230616.3374,34.172,0.405,23.8
2021-08-23T16:18:51.902,230616.3254,34.087,0.400,19.3
2021-08-23T16:18:52.595,230616.3334,34.174,0.405,24.1
2021-08-23T16:18:52.653,230616.3267,34.315,0.402,20.1
2021-08-23T16:18:52.961,230616.3208,34.185,0.405,22.6
2021-08-23T16:18:53.810,230616.3301,34.210,0.400,19.9
2021-08-23T16:18:53.858,230616.3108,34.191,0.402,23.1
2021-08-23T16:18:54.367,230616.3243,34.067,0.400,21.4
2021-08-23T16:18:54.932,230616.3003,34.195,0.401,22.1
2021-08-23T16:18:55.062,230616.3085,34.018,0.401,22.7
2021-08-23T16:18:55.367,230616.2902,34.204,0.400,22.1
2021-08-23T16:18:55.917,230616.2983,34.051,0.399,24.3
2021-08-23T16:18:56.171,230616.3052,34.193,0.400,21.6
2021-08-23T16:18:56.576,230616.2893,34.077,0.398,25.1
2021-08-23T16:18:57.148,230616.2969,34.204,0.401,21.6
2021-08-23T16:18:57.505,230616.2897,34.100,0.397,24.4
2021-08-23T16:18:58.157,230616.2992,34.199,0.400,21.3
2021-08-23T16:18:58.617,230616.2931,34.101,0.396,24.5
2021-08-23T16:18:58.870,230616.2988,34.201,0.398,21.4
2021-08-23T16:18:58.970,230616.2972,34.094,0.396,23.1
2021-08-23T16:19:00.032,230616.3003,34.203,0.398,21.2
2021-08-23T16:19:00.299,230616.2950,34.092,0.396,23.9
2021-08-23T16:19:00.459,230616.2942,34.203,0.397,21.2
2021-08-23T16:19:00.729,230616.2820,34.105,0.397,22.3
2021-08-23T16:19:00.974,230616.2964,34.194,0.398,21.1
2021-08-23T16:19:01.517,230616.2804,34.106,0.397,22.7
2021-08-23T16:19:01.782,230616.2859,34.187,0.396,20.3
2021-08-23T16:19:02.323,230616.2737,34.107,0.394,21.8
2021-08-23T16:19:02.754,230616.1660,34.056,0.395,20.4
