Timestamp,Cursor 1 Wavelength,Cursor 1 FWHM,Cursor 1 Intensity,Cursor 1 OSNR
2021-08-09T13:22:50.992,248924.9693,4.225,0.192,39.2
2021-08-09T13:22:53.664,248924.9780,4.278,0.192,38.4
2021-08-09T13:22:55.004,248924.9690,4.225,0.192,39.1
2021-08-09T13:22:57.673,248924.9785,4.279,0.191,38.8
2021-08-09T13:22:59.012,248924.9672,4.224,0.193,39.8
2021-08-09T13:23:01.768,248924.9768,4.278,0.192,40.2
2021-08-09T13:23:03.087,248924.9672,4.224,0.192,40.2
2021-08-09T13:23:05.678,248924.9804,4.280,0.191,39.2
2021-08-09T13:23:07.069,248924.9666,4.224,0.193,37.6
2021-08-09T13:23:09.773,248924.9796,4.280,0.192,39.4
2021-08-09T13:23:11.094,248924.9679,4.224,0.192,39.3
2021-08-09T13:23:13.783,248924.9792,4.280,0.192,40.9
2021-08-09T13:23:15.084,248924.9660,4.221,0.192,40.4
2021-08-09T13:23:17.746,248924.9791,4.280,0.191,38.5
2021-08-09T13:23:19.086,248924.9694,4.225,0.192,38.1
2021-08-09T13:23:21.712,248924.9831,4.281,0.190,39.9
2021-08-09T13:23:23.044,248924.9716,4.226,0.191,39.5
2021-08-09T13:23:25.714,248924.9835,4.281,0.190,41.3
2021-08-09T13:23:27.047,248924.9725,4.226,0.192,37.9
2021-08-09T13:23:29.717,248924.9824,4.279,0.190,39.6
2021-08-09T13:23:31.051,248924.9725,4.224,0.191,39.0
2021-08-09T13:23:33.719,248924.9848,4.281,0.191,39.4
2021-08-09T13:23:35.060,248924.9754,4.228,0.191,39.4
2021-08-09T13:23:37.784,248924.9899,4.282,0.191,39.5
2021-08-09T13:23:39.117,248924.9781,4.229,0.191,40.0
2021-08-09T13:23:41.742,248924.9896,4.321,0.189,38.9
2021-08-09T13:23:43.070,248924.9786,4.248,0.191,39.2
2021-08-09T13:23:45.753,248924.9946,4.283,0.190,38.7
2021-08-09T13:23:47.084,248924.9812,4.249,0.190,38.1
2021-08-09T13:23:49.746,248924.9949,4.283,0.189,40.3
2021-08-09T13:23:51.080,248924.9828,4.231,0.189,38.7
2021-08-09T13:23:53.742,248924.9975,4.283,0.189,40.5
2021-08-09T13:23:55.085,248924.9867,4.233,0.190,38.1
2021-08-09T13:23:57.767,248924.9992,4.284,0.188,39.6
2021-08-09T13:23:59.100,248924.9881,4.252,0.189,39.3
2021-08-09T13:24:01.760,248925.0051,4.324,0.187,39.3
2021-08-09T13:24:03.095,248924.9909,4.235,0.189,38.4
2021-08-09T13:24:05.783,248925.0066,4.325,0.188,38.7
2021-08-09T13:24:07.115,248924.9919,4.235,0.189,38.9
2021-08-09T13:24:09.784,248925.0084,4.325,0.187,38.9
